-1.498187,53.44361,"Woodside Lane, Grenoside, Sheffield, South Yorkshire S35",sale,175000
-1.510788,53.38455,"Mulehouse Road, Sheffield S10",sale,175000
-1.540672,53.433895,"Alford Avenue, Oughtibridge S35",sale,175000
-1.339797,53.319546,"Deepwell Avenue, Halfway, Sheffield S20",sale,175000
-1.367419,53.35914,"Market Street, Woodhouse, Sheffield S13",sale,175000
-1.470231,53.379215,"Pinstone Street, Sheffield S1",sale,175000
-1.467862,53.3775,"Arundel Street, Sheffield S1",sale,175000
-1.455027,53.440987,"Green Lane, Ecclesfield, Sheffield S35",sale,175000
-1.334298,53.345917,"Garden Walk, Beighton, Sheffield S20",sale,175000
-1.223647,53.34298,"Azalea Close, South Anston, Sheffield, South Yorkshire S25",sale,175000
-1.459944,53.360527,"Myrtle Close, Sheffield S2",sale,175000
-1.385162,53.361397,"Cardwell Avenue, Sheffield, South Yorkshire S13",sale,175000
-1.619293,53.5209,"Green Road, Penistone, Penistone S36",sale,175000
-1.371372,53.346798,"Birley Spa Drive, Sheffield, South Yorkshire S12",sale,175000
-1.479737,53.378773,"Fitzwilliam Street, Sheffield S1",sale,175000
-1.320111,53.374733,"Coral Place, Aughton, Sheffield S26",sale,175000
-1.379788,53.34137,"Wooldale Close, Owlthorpe, Sheffield, South Yorkshire S20",sale,175000
-1.520286,53.41832,"Middlewood Rise, Middlewood, Sheffield S6",sale,175000
-1.370967,53.306915,"Billam Street, Eckington, Sheffield S21",sale,175000
-1.474279,53.339718,"Cobnar Road, Woodseats, Sheffield S8",sale,175000
-1.498187,53.44361,"Woodside Lane, Grenoside, Sheffield S35",sale,174950
-1.491391,53.474407,"Caldbeck Grove, High Green, Sheffield S35",sale,174950
-1.384489,53.36116,"Cardwell Avenue, Woodhouse, Sheffield S13",sale,174950
-1.220677,53.369156,"Cramfit Crescent, Dinnington, Sheffield S25",sale,174950
-1.363442,53.32857,"Toll House Mead, Mosborough, Sheffield S20",sale,174950
-1.665341,53.524628,"Ecklands Croft, Millhouse Green, Sheffield S36",sale,174950
-1.498661,53.407097,"51 Broughton Road, Hillsborough, Sheffield S6",sale,174950
-1.336396,53.336597,"Collingbourne Avenue, Sothall, Sheffield S20",sale,174950
-1.48445,53.4628,"Blackburn Drive, Chapeltown S35",sale,174950
-1.22188,53.36911,"9 Roddis Close, Dinnington, Sheffield, South Yorkshire S25",sale,174950
-1.579074,53.474613,"Carr Road, Deepcar, Sheffield S36",sale,174950
